Estados Unidos - Tipos de interés banco central;
Fecha;Tipos de interés
27/07/2023;5,25%
04/05/2023;5,00%
23/03/2023;4,75%
02/02/2023;4,50%
15/12/2022;4,25%
03/11/2022;3,75%
22/09/2022;3,00%
28/07/2022;2,25%
16/06/2022;1,50%
05/05/2022;0,75%
17/03/2022;0,25%
16/03/2020;0%
03/03/2020;1,00%
31/10/2019;1,50%
19/09/2019;1,75%
01/08/2019;2,00%
20/12/2018;2,25%
27/09/2018;2,00%
14/06/2018;1,75%
22/03/2018;1,50%
14/12/2017;1,25%
15/06/2017;1,00%
16/03/2017;0,75%
15/12/2016;0,50%
17/12/2015;0,25%
16/12/2008;0%
29/10/2008;1,00%
08/10/2008;1,50%
30/04/2008;2,00%
18/03/2008;2,25%
30/01/2008;3,00%
22/01/2008;3,50%
11/12/2007;4,25%
31/10/2007;4,50%
18/09/2007;4,75%
29/06/2006;5,25%
10/05/2006;5,00%
28/03/2006;4,75%
31/01/2006;4,50%
13/12/2005;4,25%
01/11/2005;4,00%
20/09/2005;3,75%
09/08/2005;3,50%
30/06/2005;3,25%
03/05/2005;3,00%
22/03/2005;2,75%
02/02/2005;2,50%
14/12/2004;2,25%
10/11/2004;2,00%
21/09/2004;1,75%
10/08/2004;1,50%
30/06/2004;1,25%
25/06/2003;1,00%
06/11/2002;1,25%
11/12/2001;1,75%
06/11/2001;2,00%
02/10/2001;2,50%
17/09/2001;3,00%
21/08/2001;3,50%
27/06/2001;3,75%
15/05/2001;4,00%
18/04/2001;4,50%
20/03/2001;5,00%
31/01/2001;5,50%
03/01/2001;6,00%
16/05/2000;6,50%
